namespace,attributes_used
1000bulbs,"ramp_7_day_openers,ramp_30_day_openers,ramp_15_day_openers"
adiamor,"rampup_90_day,rampup_120_day,rampup_60_day,rampup_15_day,rampup_45_day,rampup_210_day,rampup_30_day"
adorama,"is_dormant_true,dormant_nonbuyer"
ashley,"patiosweeps,july_12_bonus,subscriber,bonus_deal_julytwentyfive,july_twenty_bonus,licensee,youth_segment,july_eighteen_bonus,july_6_bonus,bonus_deal_augfifteen,has_image,bonus_deal_augone,bonus_deal_augtwentyone,bonus_deal_augusttwentynine,bonus_deal_augthree,smart_promo_audience_1,urbanology_social_imports,bonus_deal_augeight"
best_kw,"batch_15_day_opener,batch_365_day_opener,batch_7_day_opener,batch_45_day_opener,batch_180_day_opener"
bgz_brands,"is_3day_opener,ramp_up_200k,is_eu,is_90day_opener,is_60day_opener,is_30day_opener,ramp_up_240k,is_15day_opener,ramp_up_320k"
bliss,"ramp_270_day_openers,ramp_360_day_openers,ramp_15_day_openers,is_new_sailthru_customer,ramp_120_day_openers,ramp_180_day_openers,sweepstakes,serums_lead_gen_signup,vitamin_c_list1,ramp_7_day_openers,ramp_60_day_openers,sweepstakes_giftsgalore,ramp_30_day_openers"
bradford_exchange_checks,"check_product,has_last_open_prebluecore"
callaway_apparel,"is_big_tall,is_promotion_clearance"
carls_golfland,"on_sale"
cdw,"dow_june_sub_feed,is_ms_eligible,dow_june_pid_50_bc,cat_bundle,is_eloqua_opener,dow_april_bcsend_0401,on_sale"
cdwg,"cat_bundle_gov"
clothing_shop_online,"b2b_business,b2b_small,b2b_freight,b2b_screenprint,is_60_day_opener,b2c"
coach,"batch_15_day_opener,is_4_21_affinity_audience,batch_150_day_opener,batch_7_day_opener,batch_30_day_opener,batch_45_day_opener,batch_120_day_opener,batch_365_day_opener,batch_90_day_opener,batch_250_day_opener"
coach_outlet,"batch_7_day_opener,batch_15_day_opener,is_4_13_affinity_audience,in_316_affinity_test,batch_365_day_opener,batch_150_day_opener,batch_210_day_opener,batch_30_day_opener,batch_60_day_opener,batch_45_day_opener,batch_90_day_opener"
cole_haan,"seed_brand_all,seed_brand_main,returnpathseed,inline100119,seed_outlet_all,promo111919,inline120419,inactive100119,inline111919,inline082019,seed_brand_all_012420,seed_brand_main_012420,inline021120,seed_outlet_012420,outlet021120,inline082719,inactive112619,inline111319,outlet091019,outlet080519,seed_birthday_all,inline020420,on_sale,inline121019,inline072319,outlet122319,promo112619,outlet082719,outlet021820,inline123119,new_higher_net_outlet_spend_021220,early30_2_121319,inline121719,sos_february,inline100919,is_outlet,seed_birthday_012420,inline101519,inline112619,inactives081519,outlet123119,west111919,outlet091719,inline091019,ottawa091919,austinclosing011620,inline090419,outlet121019,inline080519,inline091719,inline122319,inline012120,bootspurchasers091019,outlet121719,inline081519,omnioutlet111919,outlet100919,promo012820,inline012820,inline011420,inline102919,outletlunarusa012220,outletlunarcan012220,fullprice081519,outlet082019,inline110519,inactive021120,outlet072319,ramp_30_day_openers,outlet101519,inline073019,outlet081219,nyc091419,is_inline,bounceback120519,gss2019_west,ramp_60_day_openers,west112619,dualloafers2daysleft0423,outlet111919,promo011420,outlet073019,promo021120,inline102219,inactive1101119,outlet110519,inactive111919,inline021820,inline092519,ramp_7_day_openers"
crocs,"fiwinterwomen,survey_march_mix,caw_25_per_off,lostcustomerdollaroff,lostcustomerpercentageoff,holidaypurchaser,south_get_outside_6_18,west_get_outside_6_18,fiwintercomfort,worksignup2019,ne_get_outside_6_18,fiwinterkids,lost_cust_6_18,survey_fall_firstinsights_men,survey_march_women,fiwomensandals,mw_get_outside_6_18,cancelled_orders,survey_firstinsights_fall_women"
crocs_ca,"subscriber,groundhog_day"
crocs_jp,"unsubtest"
cubavera,"is_promotion_etos2019,is_bigtall"
david_yurman,"pref_once_a_week"
dior,"is_mcd"
discount_contact_lenses,"rampup_day14,rampup_day7,rampup_day12,rampup_day11,rampup_day10,rampup_day5_repeat,rampup_day9,rampup_day5,rampup_day13,rampup_day8"
discountschoolsupply,"interactivity0518,seedlist120418,cadence0618,colorationsemails_061218,twentyepc0818,new_contest_final_list,opt_in_for_batch,nonbuyer2019,lowmarketshare_031518,colorations070218,gsa_list_type10,is_ty50secondbatch,singleuserlaunch031919,is_ty_50_customer,openers_150d_01232018,phonefaxemail102918,epcp200818,epc100a0818,colpkg75_121818,phonefaxemail101918,btsemails_0319,bts_0419_ty100,lctagline50_0119,epcf200818,zerothree2018,deccoverrespond110118,saleswinter19,epc100b0818,ty50coup_052418"
eagle_creek,"on_sale"
ecopurehome,"berkshire_eligible"
evo,"ski_ramp13_2018_11_09,ski_ramp11_2018_11_02,ski_ramp6_2018_10_18,winter_ramp10_2018_10_31,ski_ramp1_2018_10_10,ski_ramp4_2018_10_16,new_winter_ramp3_2018_10_12,new_sb_ramp2_2018_10_11,ski_ramp8_2018_10_25,sb_ramp14_2018_11_10,sb_ramp7_2018_10_24,winter_ramp9_2018_10_27,sb_ramp5_2018_10_17"
