namespace,line
1000bulbs,WHERE row_num = 1 AND ramp_7_day_openers == True AND float(email_hash_number) > 0 AND float(email_hash_number) <= 2
1000bulbs,WHERE row_num = 1 AND ramp_7_day_openers == True AND float(email_hash_number) > 59 AND float(email_hash_number) <= 93
1000bulbs,WHERE row_num = 1 AND ramp_30_day_openers == True AND float(email_hash_number) > 30
1000bulbs,WHERE row_num = 1 AND ramp_15_day_openers == True AND float(email_hash_number) <= 29
1000bulbs,WHERE row_num = 1 AND ramp_7_day_openers == True AND float(email_hash_number) > 10 AND float(email_hash_number) <= 19
1000bulbs,WHERE row_num = 1 AND ramp_15_day_openers == True AND float(email_hash_number) > 29 AND float(email_hash_number) <= 75
1000bulbs,WHERE row_num = 1 AND ramp_7_day_openers == True AND float(email_hash_number) > 93
1000bulbs,WHERE row_num = 1 AND ramp_7_day_openers == True AND float(email_hash_number) <= 0
1000bulbs,WHERE row_num = 1 AND ramp_7_day_openers == True AND float(email_hash_number) > 19 AND float(email_hash_number) <= 34
1000bulbs,WHERE row_num = 1 AND ramp_15_day_openers == True AND float(email_hash_number) > 75
1000bulbs,WHERE row_num = 1 AND ramp_30_day_openers == True AND float(email_hash_number) <= 30
1000bulbs,WHERE row_num = 1 AND ramp_7_day_openers == True AND float(email_hash_number) > 2 AND float(email_hash_number) <= 5
1000bulbs,WHERE row_num = 1 AND ramp_7_day_openers == True AND float(email_hash_number) > 5 AND float(email_hash_number) <= 10
1000bulbs,WHERE row_num = 1 AND ramp_7_day_openers == True AND float(email_hash_number) > 37 AND float(email_hash_number) <= 59
adiamor,WHERE row_num = 1 AND rampup_90_day == True AND float(email_hash_number) > 47 AND float(email_hash_number) <= 95
adiamor,WHERE row_num = 1 AND rampup_120_day == True AND email LIKE "%gmail.%"
adiamor,WHERE row_num = 1 AND rampup_60_day == True AND email LIKE "%gmail.%"
adiamor,WHERE row_num = 1 AND rampup_60_day == True AND float(email_hash_number) <= 91
